Threads,BlockSize,HackSize,Time_s,MFLOPS,NNZ,Matrix,Format,Mode,GFLOPS
1,-1,16,0.00835659,959.1,4007383,cant.mtx,HLL,OpenMP,0.9591000000000001
2,-1,16,0.00446132,1796.5,4007383,cant.mtx,HLL,OpenMP,1.7965
3,-1,16,0.00289272,2770.67,4007383,cant.mtx,HLL,OpenMP,2.77067
4,-1,16,0.00219117,3657.76,4007383,cant.mtx,HLL,OpenMP,3.65776
5,-1,16,0.00181127,4424.95,4007383,cant.mtx,HLL,OpenMP,4.42495
6,-1,16,0.00154123,5200.23,4007383,cant.mtx,HLL,OpenMP,5.2002299999999995
7,-1,16,0.00135141,5930.68,4007383,cant.mtx,HLL,OpenMP,5.930680000000001
8,-1,16,0.00123957,6465.76,4007383,cant.mtx,HLL,OpenMP,6.46576
9,-1,16,0.00112091,7150.23,4007383,cant.mtx,HLL,OpenMP,7.15023
10,-1,16,0.00101939,7862.31,4007383,cant.mtx,HLL,OpenMP,7.862310000000001
11,-1,16,0.00098276,8155.38,4007383,cant.mtx,HLL,OpenMP,8.155380000000001
12,-1,16,0.0010469,7655.72,4007383,cant.mtx,HLL,OpenMP,7.6557200000000005
13,-1,16,0.00081839,9793.32,4007383,cant.mtx,HLL,OpenMP,9.79332
14,-1,16,0.00070393,11385.76,4007383,cant.mtx,HLL,OpenMP,11.38576
15,-1,16,0.00070675,11340.35,4007383,cant.mtx,HLL,OpenMP,11.34035
16,-1,16,0.00061061,13125.78,4007383,cant.mtx,HLL,OpenMP,13.12578
17,-1,16,0.00057754,13877.46,4007383,cant.mtx,HLL,OpenMP,13.87746
18,-1,16,0.00054318,14755.34,4007383,cant.mtx,HLL,OpenMP,14.75534
19,-1,16,0.00052746,15195.02,4007383,cant.mtx,HLL,OpenMP,15.195020000000001
20,-1,16,0.00050904,15744.86,4007383,cant.mtx,HLL,OpenMP,15.744860000000001
21,-1,16,0.00071267,11246.15,4007383,cant.mtx,HLL,OpenMP,11.24615
22,-1,16,0.00078988,10146.75,4007383,cant.mtx,HLL,OpenMP,10.14675
23,-1,16,0.00069661,11505.39,4007383,cant.mtx,HLL,OpenMP,11.50539
24,-1,16,0.00067658,11845.93,4007383,cant.mtx,HLL,OpenMP,11.845930000000001
25,-1,16,0.00067708,11837.19,4007383,cant.mtx,HLL,OpenMP,11.83719
26,-1,16,0.00064603,12406.27,4007383,cant.mtx,HLL,OpenMP,12.406270000000001
27,-1,16,0.00064088,12505.79,4007383,cant.mtx,HLL,OpenMP,12.505790000000001
28,-1,16,0.00061493,13033.72,4007383,cant.mtx,HLL,OpenMP,13.033719999999999
29,-1,16,0.00057725,13884.39,4007383,cant.mtx,HLL,OpenMP,13.88439
30,-1,16,0.000608,13182.27,4007383,cant.mtx,HLL,OpenMP,13.18227
31,-1,16,0.00056593,14162.08,4007383,cant.mtx,HLL,OpenMP,14.16208
32,-1,16,0.00053825,14890.43,4007383,cant.mtx,HLL,OpenMP,14.89043
33,-1,16,0.0005239,15298.19,4007383,cant.mtx,HLL,OpenMP,15.29819
34,-1,16,0.00061483,13035.81,4007383,cant.mtx,HLL,OpenMP,13.03581
35,-1,16,0.00054766,14634.53,4007383,cant.mtx,HLL,OpenMP,14.63453
36,-1,16,0.00048792,16426.32,4007383,cant.mtx,HLL,OpenMP,16.42632
37,-1,16,0.00047524,16864.69,4007383,cant.mtx,HLL,OpenMP,16.86469
38,-1,16,0.00047457,16888.65,4007383,cant.mtx,HLL,OpenMP,16.888650000000002
39,-1,16,0.0004584,17484.34,4007383,cant.mtx,HLL,OpenMP,17.48434
40,-1,16,0.0007117,11261.4,4007383,cant.mtx,HLL,OpenMP,11.2614
1,-1,16,3.517e-05,418.09,7353,west2021.mtx,HLL,OpenMP,0.41808999999999996
2,-1,16,3.105e-05,473.56,7353,west2021.mtx,HLL,OpenMP,0.47356
3,-1,16,9.057e-05,162.37,7353,west2021.mtx,HLL,OpenMP,0.16237000000000001
4,-1,16,1.619e-05,908.35,7353,west2021.mtx,HLL,OpenMP,0.90835
5,-1,16,1.715e-05,857.38,7353,west2021.mtx,HLL,OpenMP,0.85738
6,-1,16,1.066e-05,1379.1,7353,west2021.mtx,HLL,OpenMP,1.3791
7,-1,16,6.211e-05,236.77,7353,west2021.mtx,HLL,OpenMP,0.23677
8,-1,16,1.762e-05,834.63,7353,west2021.mtx,HLL,OpenMP,0.83463
9,-1,16,1.61e-05,913.47,7353,west2021.mtx,HLL,OpenMP,0.91347
10,-1,16,1.714e-05,857.92,7353,west2021.mtx,HLL,OpenMP,0.8579199999999999
11,-1,16,2.59e-05,567.76,7353,west2021.mtx,HLL,OpenMP,0.56776
12,-1,16,3.372e-05,436.11,7353,west2021.mtx,HLL,OpenMP,0.43611
13,-1,16,4.251e-05,345.93,7353,west2021.mtx,HLL,OpenMP,0.34593
